LID,RGI_ID,L_NUM,LON,LAT,AREA,LENGTH,MATCH
92,RGI60-10.01729,195,87.68,50.13,4.85,4,2
93,RGI60-10.04359,196,161.8,54.78,7.55,6.4,2
94,RGI60-16.01635,385,37.32,-0.13,0.02,0.4,2
95,RGI60-11.00233,243,12.25,47.08,7.52,3.6,2
96,RGI60-11.01920,244,10.6,46.43,4.75,3.5,2
98,RGI60-11.01698,245,7.93,46.47,10.03,8,1
99,RGI60-11.00929,246,11.02,46.8,3.52,5.5,1
100,RGI60-17.04105,424,-72.98,-52.8,5.32,6.83,1
102,RGI60-16.01638,386,37.26,-0.15,0.42,1,2
103,RGI60-11.02922,247,7.83,45.9,11.83,5.6,1
104,RGI60-10.01737,197,87.75,50.08,3.8,4.5,2
105,RGI60-11.02437,248,10.53,46.17,12.38,5.5,1
106,RGI60-12.00914,317,41.17,43.33,3.3,4.1,2
107,RGI60-11.00958,249,10.88,46.78,5.14,4.4,1
108,RGI60-01.02228,9,-143.83,69.28,7.4,8.2,1
109,RGI60-11.03643,250,6.93,45.88,33,12,1
110,RGI60-16.01661,387,137.17,-4.08,1.95,2.1,2
111,RGI60-08.00121,171,17.7,67.4,7.1,4.7,1
112,RGI60-14.04452,361,74.58,36.18,60.5,19.5,1
113,RGI60-11.02584,251,7.6,46.08,6.11,5.8,1
115,RGI60-11.01946,252,9.93,46.4,17.15,7.6,1
116,RGI60-05.04853,92,-45.09,61.13,6.11,4.78,1
117,RGI60-02.10232,42,-127.77,53.92,0.99,1.6,1
118,RGI60-11.00992,253,10.87,46.78,2.9,3.4,1
119,RGI60-08.01126,172,7.13,61.72,48.2,9.6,1
120,RGI60-02.14336,43,-121.75,46.78,7,7.6,2
122,RGI60-17.04163,428,-73.12,-52.73,51.5,13.9,1
123,RGI60-11.01270,254,8.1,46.62,10.07,5.5,1
124,RGI60-11.00141,255,12.3,47.12,15.3,6.3,2
125,RGI60-11.00124,256,12.65,47.12,2.22,4.2,2
126,RGI60-11.03232,257,-0.13,42.78,0.58,1.7,2
128,RGI60-11.03231,258,-0.14,42.78,0.16,0.8,1
129,RGI60-02.00440,45,-122.83,50.02,2.6,2.7,1
131,RGI60-11.02144,259,9.98,46.37,6.62,4.3,1
132,RGI60-11.01746,260,9.07,46.5,4.6,4.1,2
133,RGI60-11.00106,261,12.7,47.1,19.78,9.8,1
134,RGI60-02.05098,46,-116.55,51.67,13.35,5.8,1
136,RGI60-13.17803,364,70.75,39.67,6.4,6.2,2
137,RGI60-11.01238,264,8.4,46.62,17.38,10.5,1
140,RGI60-11.02119,265,9.83,46.38,8.72,5.8,1
141,RGI60-11.00871,267,11.05,46.82,3.17,3.5,1
142,RGI60-11.03674,268,6.17,45.18,3,3.2,1
143,RGI60-08.00005,175,16.38,67.12,24.5,9.4,1
144,RGI60-11.02793,269,7.07,45.98,5.03,6.5,1
145,RGI60-07.00265,155,16.42,76.83,108,18,2
146,RGI60-13.05561,367,79.45,44.9,10,5.4,2
147,RGI60-02.06929,49,-117.13,52.2,30.06,14.5,2
148,RGI60-11.00135,270,12.38,47.12,11.27,6.4,2
149,RGI60-11.00415,271,11.85,47.02,4.84,2.8,1
150,RGI60-11.00264,272,12.27,47.07,4.16,3.8,2
151,RGI60-12.00264,321,43.67,42.83,2,3.3,2
152,RGI60-10.01836,200,87.77,49.78,12,7.4,1
153,RGI60-17.15844,442,-73.18,-46.9,50,8.3,1
154,RGI60-06.00340,141,-19.28,63.58,44,15,1
155,RGI60-07.01568,156,-8.18,71.03,10,5.8,1
156,RGI60-02.17902,51,-121.05,48.37,2.03,3.7,2
157,RGI60-16.01631,388,29.86,0.4,1.31,1,2
159,RGI60-11.01144,273,8.43,46.7,6.52,4.7,1
160,RGI60-08.00312,177,8.13,61.57,5.4,3.3,1
161,RGI60-08.00213,178,18.57,67.9,3.1,3.8,1
162,RGI60-12.00490,322,44.42,42.7,2.5,4.7,1
163,RGI60-11.00541,274,11.15,46.98,1.17,3.7,2
164,RGI60-02.01265,53,-123.97,50.5,1.01,1.4,2
165,RGI60-06.00474,142,-16.75,64.03,24,12,1
166,RGI60-11.03229,275,-0.06,42.7,0.15,0.7,2
167,RGI60-11.00687,276,10.87,46.9,8.16,5.8,1
168,RGI60-02.02896,54,-123.78,51.02,21.35,8.9,1
169,RGI60-02.01304,55,-123.43,50.43,4.57,3.7,1
170,RGI60-02.00259,56,-122.65,49.85,2.74,2.8,2
171,RGI60-11.02740,277,7.03,46,6.58,5,1
172,RGI60-11.02249,278,7.23,46.32,3.78,3.8,1
175,RGI60-12.00813,326,43.67,42.92,9.7,8.8,2
176,RGI60-11.02755,279,7.45,46,3.01,4.9,1
177,RGI60-02.04153,57,-123.87,51.38,1.06,1.6,2
178,RGI60-13.08624,370,77.08,43.05,2.55,3.4,1
179,RGI60-11.02490,280,7.68,46.13,6.98,6.1,2
180,RGI60-16.01639,389,37.3,-0.15,0.08,0.6,2
181,RGI60-11.01346,281,8.07,46.58,21.71,9,1
182,RGI60-11.00278,282,12.25,47.05,7.33,5,1
183,RGI60-11.01328,283,8.22,46.57,28.41,14,1
184,RGI60-11.00068,284,12.35,47.13,5.92,6.4,2
185,RGI60-11.02927,285,7.27,45.9,2.34,4.3,1
187,RGI60-11.02351,286,9.77,46.27,2.37,3.8,1
188,RGI60-02.04151,58,-116.27,51.38,3.5,4.2,2
189,RGI60-11.00110,288,12.37,47.13,4.35,4.6,2
190,RGI60-11.00469,289,11.8,47,4.08,2.4,1
191,RGI60-02.00648,59,-122.78,50.15,2.6,3,2
192,RGI60-02.14017,60,-123.7,47.87,4.69,3.5,2
193,RGI60-11.00300,290,13,47.03,1.09,4.1,2
194,RGI60-13.17829,372,70.67,39.52,38.7,28.5,2
195,RGI60-11.00190,291,12.38,47.08,5.47,4.9,1
196,RGI60-11.02630,292,7.63,46.07,16.24,8.6,1
197,RGI60-13.12873,373,72.83,39.1,40,21,1
198,RGI60-17.04876,393,-73.53,-50.92,178.04,29.47,1
200,RGI60-17.00456,394,-73.61,-50.82,123.34,17.74,1
201,RGI60-17.15903,396,-73.69,-47.05,169,32.73,1
202,RGI60-17.05738,397,-73.57,-48.68,710.28,54.87,1
206,RGI60-17.04882,399,-73.29,-50.7,105.93,15.26,1
221,RGI60-17.15859,403,-73.43,-47.17,333,39.8,1
224,RGI60-17.05426,409,-73.91,-48.89,73.93,45.86,2
225,RGI60-17.04871,410,-73.34,-50.86,274.86,34.22,1
226,RGI60-17.15809,412,-73.52,-46.59,141,31.94,1
229,RGI60-17.15899,414,-73.73,-47.15,184,26.16,1
230,RGI60-17.15898,415,-73.69,-47.24,274,44.47,1
232,RGI60-17.04971,416,-73.65,-49.84,114.55,13.87,1
234,RGI60-17.04896,417,-73.46,-50.5,86.66,17.26,1
235,RGI60-17.04863,418,-73.61,-51.03,44.31,15.64,1
236,RGI60-17.06074,420,-73.52,-48.46,402.99,47.61,1
237,RGI60-17.15840,425,-73.26,-46.8,73,12.86,1
241,RGI60-17.15854,427,-73.32,-46.98,130,32.76,1
243,RGI60-17.05470,430,-73.76,-48.83,448.16,56.21,1
244,RGI60-17.05962,435,-73.68,-48.5,107.46,26.39,1
245,RGI60-17.05184,429,-73.36,-48.92,785.4,54.47,1
247,RGI60-17.15877,436,-73.35,-47.37,84,26.12,1
250,RGI60-17.15888,439,-73.43,-47.45,13,9.24,1
253,RGI60-17.15804,440,-73.62,-46.9,795,68.19,1
254,RGI60-17.15808,441,-73.51,-46.72,741,57.12,1
261,RGI60-17.15897,443,-73.6,-47.33,454,50.22,1
264,RGI60-17.04856,445,-73.43,-51.12,315.83,41.71,1
265,RGI60-17.00172,446,-73.38,-49.74,900.48,62.17,1
269,RGI60-08.02967,163,6.43,60.03,15.2,7.5,1
272,RGI60-08.01779,174,7.36,60.53,17.1,8.1,1
273,RGI60-13.07064,345,78.17,41.8,1.25,5.1,2
274,RGI60-13.08055,368,78.2,41.82,3.05,4.5,2
275,RGI60-13.08056,348,78.18,41.83,11.43,6.56,2
276,RGI60-13.08085,362,78.27,41.87,65.33,12.82,1
277,RGI60-13.07055,350,78.25,41.92,2.1,3.05,1
278,RGI60-13.11609,353,74.48,42.45,6.21,5.48,1
279,RGI60-06.00002,138,-23.77,64.8,2,2.05,1
280,RGI60-06.00481,139,-16.88,64.12,30,10.54,1
281,RGI60-06.00479,140,-16.8,64.08,85,18.38,1
282,RGI60-07.00593,145,16.27,78.68,3.91,5.49,1
283,RGI60-07.00585,146,16.82,78.75,3.81,5.65,1
284,RGI60-07.00584,147,16.95,78.73,20.4,8.41,1
285,RGI60-07.00569,148,16.38,78.68,0.36,1.72,1
286,RGI60-07.00626,149,16.33,78.7,1.6,3.67,2
287,RGI60-07.01490,151,16.67,78.77,4.26,4.73,1
288,RGI60-07.00619,153,16.02,78.7,0.96,3.11,2
289,RGI60-07.01489,154,16.73,78.75,6.65,6.03,1
290,RGI60-07.00570,152,17.18,78.7,242,29.23,1
291,RGI60-17.04103,434,-73.2,-52.83,15.06,8.39,2
292,RGI60-17.04109,431,-73.17,-52.82,3.1,3.01,1
293,RGI60-17.04101,433,-73.23,-52.83,15.06,9.51,1
294,RGI60-17.04139,432,-73.15,-52.8,30.91,11.09,2
297,RGI60-05.00623,65,-53.53,69.32,5.73,3.85,1
298,RGI60-05.00608,133,-53.36,69.32,3.08,2,1
299,RGI60-05.00602,99,-53.42,69.3,1.46,1.95,2
300,RGI60-18.01890,450,170.07,-43.67,0.6,1.25,2
301,RGI60-16.01616,390,-98.62,19.02,0.44,0.99,2
302,RGI60-17.02143,426,-68.42,-54.78,1,0.86,2
303,RGI60-17.12367,401,-71.83,-41.18,8.01,5.4,2
304,RGI60-17.01218,402,-70.37,-34.55,39.98,11.88,2
305,RGI60-17.12378,400,-71.87,-41.13,7,6.89,1
307,RGI60-01.20818,50,-136.58,58.67,1.99,3.31,1
308,RGI60-02.14131,48,-123.6,47.77,0.6,1.44,1
309,RGI60-02.14080,37,-123.67,47.82,0.41,1.08,2
310,RGI60-02.14004,36,-123.7,47.78,1.1,1.92,1
311,RGI60-13.08552,339,77.1,42.85,6.9,4.99,1
312,RGI60-13.08545,349,77.05,42.83,3.2,4.06,1
313,RGI60-14.20030,347,74.72,35.23,21.65,12.02,1
315,RGI60-07.00492,158,12,78.67,2.59,3.83,1
316,RGI60-15.12613,341,96.82,29.13,29.5,21.25,1
318,RGI60-17.14202,413,-70.03,-32.61, NaN,8.39,1
319,RGI60-17.14237,447,-69.99,-32.55, NaN,6.84,2
321,RGI60-17.00466,395,-70.55,-35.29, NaN,3.31,2
322,RGI60-12.00193,294,41.53,43.28,5.4,4.67,1
323,RGI60-12.00031,299,42.7,43.13,11.3,7.56,1
324,RGI60-12.00577,301,43.18,42.98,34,14.35,2
325,RGI60-13.54431,351,72.33,38.71,156,77.27,2
327,RGI60-12.01297,311,41.85,43.23,2.7,3.98,1
329,RGI60-13.17627,356,70.45,39.25,5.9,4.2,2
330,RGI60-12.00940,313,43.72,42.63, NaN,3.02,2
331,RGI60-12.00328,315,44.37,42.55,1.8,2.29,2
332,RGI60-10.01167,198,87.44,50.05,4.8,5.35,1
333,RGI60-13.17591,366,70.45,39.17,6.6,5.64,2
335,RGI60-13.17785,369,70.58,39.62,21.4,11.63,1
336,RGI60-07.01071,157,15.05,77.95,10.9,5.97,1
337,RGI60-12.00807,323,42.47,43.13,3.75,3.21,1
339,RGI60-12.01302,327,43.82,42.77,1.3,2.3,2
340,RGI60-12.00158,332,41.87,43.23,0.5,1.52,2
342,RGI60-13.06563,334,77.96,42.01,4.4,4.85,1
343,RGI60-13.06424,335,78.18,42.04,6.3,5.89,1
344,RGI60-13.06564,336,77.97,42,4.9,3.88,1
345,RGI60-13.06567,337,77.97,41.99,4.1,4.97,1
346,RGI60-13.06566,338,77.96,41.98,3.3,2.64,2
347,RGI60-13.06426,340,78.16,42.04,6,6.04,1
348,RGI60-13.07952,344,77.9,41.97,6.6,4.38,1
349,RGI60-13.06741,354,77.92,41.96,9.4,3.76,2
350,RGI60-13.07891,357,78.28,42.08,26.2,13.04,1
351,RGI60-13.06740,363,77.93,41.99,8.6,6.07,1
352,RGI60-12.01061,296,42.53,43.37,12.69,7.48,2
353,RGI60-12.00188,297,42.4,43.37,2.03,3.13,1
355,RGI60-12.00161,305,42.47,43.3,3.29,3.9,1
356,RGI60-12.00730,307,42.5,43.33,10.55,9.06,1
357,RGI60-12.00345,308,42.53,43.33,1.8,3.47,1
358,RGI60-12.01124,309,42.45,43.38,5.68,6.35,1
359,RGI60-12.00479,314,42.38,43.35,6.84,7.3,1
360,RGI60-12.00168,316,42.45,43.28,9.28,7.04,1
362,RGI60-12.00821,324,42.48,43.3,8.11,6.47,1
363,RGI60-12.00014,328,42.43,43.38,11.66,6.3,1
364,RGI60-12.00507,330,42.47,43.38,2.37,5.32,2
365,RGI60-12.00610,331,42.48,43.38,2.41,5.88,1
366,RGI60-14.20156,365,74.59,35.33,39,14.83,1
367,RGI60-16.01447,378,-68.12,-16.36,0.23,0.6,2
368,RGI60-16.00539,379,-68.19,-16.28,0.11,0.51,2
370,RGI60-16.00545,381,-68.15,-16.3,0.52,1.6,2
371,RGI60-16.00679,384,-68.32,-16.05,0.35,0.86,2
372,RGI60-16.00618,391,-68.3,-16.05,0.34,0.85,1
373,RGI60-16.00546,392,-68.14,-16.3,2.36,3.22,2
374,RGI60-08.00188,173,18.48,67.9,3.7,4.53,1
376,RGI60-17.05091,438,-72.97,-49.27,5.6,5.77,1
378,RGI60-17.05217,422,-72.9,-49.07,1.92,2.43,2
380,RGI60-05.20030,70,-20.83,74.38,5.6,6.7,1
381,RGI60-01.10907,18,-146.2,61.3,199,35.2,1
382,RGI60-01.01854,16,-145.2,60.6,56.8,13,1
383,RGI60-11.00638,262,9.38,46.95,0.21,0.63,2
384,RGI60-11.01987,206,8.47,46.42,1.5,2.42,1
385,RGI60-11.00848,287,10.07,46.84,1.27,2.18,1
386,RGI60-11.01222,266,8.15,46.65,6.14,5.21,1
387,RGI60-14.15447,343,77.69,32.15,137,28.18,1
388,RGI60-15.02703,371,88.23,27.71,41.2,28.63,1
389,RGI60-08.01124,159,7.03,61.65,23,4.66,2
390,RGI60-08.01131,170,7.24,61.78,12,8.82,1
397,RGI60-01.01921,2,-144.93,69.28,1.44,2.94,1
398,RGI60-01.02170,4,-144.33,69.3,5.38,6.63,1
399,RGI60-01.02169,8,-144.18,69.29,4.96,6.26,1
400,RGI60-01.02190,13,-144.18,69.15,9.12,8.76,1
401,RGI60-01.02191,14,-144.15,69.17,0.48,1.58,1
402,RGI60-05.02117,63,-52.07,70.52,13.2,8.14,1
403,RGI60-05.01108,61,-54.5,69.64,3.43,3.42,1
404,RGI60-05.00354,80,-52.09,65.85,8.77,5.35,1
405,RGI60-05.04718,94,-45.9,60.99,1.17,2.05,1
406,RGI60-05.00304,110,-51.92,65.95,57,15.42,1
407,RGI60-05.00275,117,-52.61,65.87,4.27,3.85,1
408,RGI60-05.01659,118,-51.7,70.08,8.83,6.78,1
409,RGI60-05.02112,119,-52.15,70.52,20.33,11.55,1
411,RGI60-05.00793,121,-52.4,66.28,79.07,20.85,1
412,RGI60-05.00790,124,-52.38,66.37,19.08,8.58,2
413,RGI60-05.02129,131,-51.88,70.47,15.46,9.64,1
414,RGI60-05.02123,134,-51.98,70.47,39.9,15.82,1
415,RGI60-05.03779,93,-45.27,60.3,1.97,2.97,1
416,RGI60-05.04255,122,-44.16,60.54,23.8,12.47,1
417,RGI60-05.04866,91,-45.03,61.15,1.43,2.91,1
418,RGI60-15.06720,360,80.05,30.43,53.95,18.07,2
419,RGI60-05.11158,89,-37.08,65.68,17.6,8.33,2
421,RGI60-01.18087,6,-149.78,60.17,31.94,11.2,1
422,RGI60-01.18055,7,-150.98,59.58,71.73,19.36,1
423,RGI60-01.17955,12,-150.73,59.66,14.36,7.62,1
424,RGI60-01.09162,19,-148.9,60.42,18.56,8.02,1
425,RGI60-01.09761,17,-148.55,60.67,21.2,13.5,1
426,RGI60-01.09471,5,-148.77,60,129.59,25.33,1
427,RGI60-01.17988,20,-150.73,59.48,50.05,15.14,1
428,RGI60-01.17803,1,-149.63,59.99,149.28,35.33,1
429,RGI60-01.17880,3,-150.48,59.73,59.47,22.74,1
430,RGI60-01.17876,10,-150.22,59.77,118.76,15.96,1
431,RGI60-01.17843,11,-150.05,59.87,161.54,29.65,2
432,RGI60-11.02916,263,7.04,45.91,3.1,3.74,1
433,RGI60-17.12055,405,-72.02,-42.13,11.6,6.1,1
436,RGI60-02.15508,41,-119.26,37.74,0.28,0.69,2
437,RGI60-02.15507,40,-119.27,37.74,0.14,0.55,2
440,RGI60-02.18787,27,-119.32,37.97,0.16,0.52,1
441,RGI60-02.18785,28,-118.68,37.17,0.12,0.44,1
442,RGI60-02.14905,39,-118.55,36.57,0.05,0.15,2
445,RGI60-02.14895,47,-118.51,36.56,0.08,0.46,2
446,RGI60-02.03687,22,-117.47,51.21, NaN,2.12,2
447,RGI60-05.13890,100,-36.1,65.97,17.15,10.33,1
448,RGI60-05.11639,62,-36.33,66.05,3.73,4.18,1
449,RGI60-05.13907,82,-36.48,66.1,137.61,29.53,1
450,RGI60-05.13930,81,-36.68,66.09,179.21,28.66,1
451,RGI60-05.13878,72,-36.87,65.98,34.53,11.96,1
452,RGI60-05.11966,105,-37.22,66.38,42.28,17.12,1
453,RGI60-05.11755,83,-37.28,66.22,16.35,8.64,1
454,RGI60-05.11225,137,-38.22,65.83,10.8,7.28,2
455,RGI60-05.07169,98,-40.82,63.98,2.53,3.29,1
456,RGI60-05.07162,96,-40.87,63.93,125.4,13.71,1
457,RGI60-05.06792,87,-41.55,63.72,20.95,11.22,1
458,RGI60-05.07178,68,-41.18,63.75,10.59,5.96,1
459,RGI60-05.07005,136,-40.97,63.72,105.9,15.86,1
460,RGI60-05.07184,95,-40.57,63.7,19.95,5.12,1
461,RGI60-05.06817,116,-40.93,63.62,25.02,10.87,1
462,RGI60-05.06655,66,-40.82,63.55,3.28,3.74,1
463,RGI60-05.06653,67,-40.88,63.55,6.18,3.78,1
464,RGI60-05.06804,90,-40.98,63.55,6.04,4.54,1
465,RGI60-05.06821,88,-41.01,63.55,50.92,6.82,1
466,RGI60-05.06803,123,-41.27,63.57,60.08,10.44,1
467,RGI60-05.06699,79,-41.42,63.57,6.41,3.93,1
468,RGI60-05.06696,73,-41.47,63.58,6.87,4.23,1
469,RGI60-05.06703,74,-41.5,63.58,4.99,5.53,1
470,RGI60-05.06486,125,-41.73,63.45,34.22,10.68,1
471,RGI60-05.06513,78,-41.42,63.47,1.54,2.76,1
472,RGI60-05.06407,126,-41.65,63.35,6.43,5.91,1
473,RGI60-05.06401,135,-41.5,63.33,7.17,2.86,1
474,RGI60-05.06279,84,-41.43,63.3,1.8,3.78,2
475,RGI60-05.06303,75,-41.33,63.28,11.9,5.91,1
476,RGI60-05.06305,64,-41.45,63.28,8.51,7.49,1
477,RGI60-05.06222,111,-41.25,63.23,4.28,3.64,1
478,RGI60-05.06213,76,-41.18,63.25,1.7,2.63,1
479,RGI60-05.06210,77,-41.17,63.23,1.57,2.08,1
480,RGI60-05.06304,71,-41.55,63.3,3.51,4.39,1
481,RGI60-05.06245,132,-41.65,63.24,41.29,8.54,1
482,RGI60-05.06236,85,-41.53,63.18,30.63,11.72,1
483,RGI60-05.06122,112,-42.2,63.17,12.79,5.66,1
484,RGI60-05.06123,69,-42.18,63.15,3.65,4.19,1
485,RGI60-05.05833,106,-42.07,63,30.61,13.38,1
486,RGI60-05.05680,128,-42.78,62.72,11.43,7.89,1
487,RGI60-05.05700,127,-42.88,62.72,14.35,8,1
488,RGI60-05.05690,129,-42.98,62.73,8.45,7.25,1
489,RGI60-05.05684,130,-43.02,62.73,23.09,13.98,1
490,RGI60-05.05553,102,-42.63,62.58,2.53,3.5,1
491,RGI60-05.05544,113,-42.73,62.57,16.17,8.52,1
492,RGI60-05.05554,114,-42.6,62.55,4.83,5.36,1
493,RGI60-05.05532,107,-42.5,62.52,23.08,9.38,1
494,RGI60-05.05550,115,-42.87,62.5,13.38,7.91,1
495,RGI60-05.05338,108,-42.68,61.77,4.15,2.4,1
496,RGI60-05.05211,109,-42.75,61.56,28.19,9.58,1
497,RGI60-05.05327,103,-42.85,61.57,8.07,3.68,1
498,RGI60-05.05329,104,-42.92,61.57,15.43,7.2,1
499,RGI60-05.05195,101,-42.77,61.5,13.65,5.68,1
516,RGI60-09.00092,179,65.05,76.35,49.57,17.08,1
517,RGI60-09.00090,180,64.72,76.28,289.94,24.83,2
518,RGI60-09.00149,181,66.78,76.8,387.2,40.41,1
519,RGI60-09.00072,182,66.83,76.47,669.47,47.86,1
520,RGI60-09.00144,183,65.52,76.43,73.07,14.6,1
521,RGI60-09.00080,184,64.37,76.27,55.26,18.38,1
522,RGI60-09.00070,185,66.1,76.58,132.99,21.59,1
523,RGI60-09.00946,186,67,76.87,110.03,20.31,1
524,RGI60-09.00139,187,63.78,76.2,293.23,38.18,1
525,RGI60-09.00081,188,62.65,76.15,455.65,45.95,2
526,RGI60-09.00066,189,64.18,76.25,223,32.62,1
527,RGI60-09.00062,190,66.37,76.68,231.11,38.14,1
528,RGI60-09.00064,191,65.42,76.37,233.74,30.8,1
529,RGI60-12.01262,318,43.16,43.07,10.56,8.29,2
