,rgi_id,MB_profile,exist_diff_total_winter_summer_above_100,len_mb_profile,len_summer_balance,len_winter_balance,len_annual_balance
RGI60-11.02214,RGI60-11.02214,False,False,0,0,0,19.0
RGI60-11.01662,RGI60-11.01662,False,False,0,8,8,10.0
RGI60-11.03084,RGI60-11.03084,False,False,0,3,3,17.0
RGI60-16.01638,RGI60-16.01638,True,False,19,0,0,22.0
RGI60-13.18096,RGI60-13.18096,True,True,28,22,22,28.0
RGI60-13.06974,RGI60-13.06974,True,False,11,11,11,13.0
RGI60-13.11609,RGI60-13.11609,True,False,19,25,25,25.0
RGI60-13.06361,RGI60-13.06361,True,False,6,21,21,26.0
RGI60-13.08055,RGI60-13.08055,True,True,10,9,9,10.0
RGI60-13.08782,RGI60-13.08782,False,False,0,0,0,12.0
RGI60-13.08534,RGI60-13.08534,False,False,0,0,0,12.0
RGI60-13.08615,RGI60-13.08615,False,False,0,0,0,12.0
RGI60-13.08781,RGI60-13.08781,False,False,0,0,0,12.0
RGI60-13.05496,RGI60-13.05496,False,False,0,0,0,13.0
RGI60-13.08531,RGI60-13.08531,False,False,0,0,0,12.0
RGI60-13.08533,RGI60-13.08533,False,False,0,0,0,12.0
RGI60-13.05504,RGI60-13.05504,True,False,13,13,13,13.0
RGI60-13.08624,RGI60-13.08624,True,False,41,41,41,41.0
RGI60-13.08814,RGI60-13.08814,False,False,0,0,0,12.0
RGI60-13.08783,RGI60-13.08783,False,False,0,0,0,12.0
RGI60-08.02666,RGI60-08.02666,True,False,40,40,40,40.0
RGI60-08.01286,RGI60-08.01286,True,False,32,32,32,32.0
RGI60-08.02962,RGI60-08.02962,True,False,11,10,10,11.0
RGI60-08.01657,RGI60-08.01657,True,False,41,41,41,41.0
RGI60-08.02963,RGI60-08.02963,True,False,11,10,10,11.0
RGI60-08.00987,RGI60-08.00987,True,False,41,41,41,41.0
RGI60-08.02650,RGI60-08.02650,True,False,34,34,34,34.0
RGI60-08.00449,RGI60-08.00449,True,False,41,41,41,41.0
RGI60-08.01258,RGI60-08.01258,True,False,29,29,29,29.0
RGI60-08.01126,RGI60-08.01126,True,False,41,41,41,41.0
RGI60-08.03416,RGI60-08.03416,True,False,10,10,10,11.0
RGI60-08.01779,RGI60-08.01779,True,False,35,41,41,41.0
RGI60-08.02384,RGI60-08.02384,True,False,10,10,10,10.0
RGI60-08.00312,RGI60-08.00312,True,False,30,41,41,41.0
RGI60-08.00287,RGI60-08.00287,True,False,10,10,10,10.0
RGI60-08.01598,RGI60-08.01598,True,False,7,7,7,13.0
RGI60-15.03591,RGI60-15.03591,False,False,0,0,0,12.0
RGI60-15.03875,RGI60-15.03875,False,False,0,0,0,10.0
RGI60-18.01130,RGI60-18.01130,False,False,0,15,15,15.0
RGI60-16.02444,RGI60-16.02444,True,False,15,0,0,15.0
RGI60-16.02086,RGI60-16.02086,True,False,13,0,0,24.0
RGI60-12.01132,RGI60-12.01132,True,False,31,38,38,41.0
RGI60-12.00161,RGI60-12.00161,True,False,32,35,35,36.0
RGI60-10.04358,RGI60-10.04358,False,True,0,4,4,10.0
RGI60-10.01737,RGI60-10.01737,True,False,8,22,22,35.0
RGI60-10.01732,RGI60-10.01732,True,False,23,27,27,34.0
RGI60-10.01735,RGI60-10.01735,False,False,0,5,5,11.0
RGI60-10.01708,RGI60-10.01708,True,False,12,26,26,34.0
RGI60-08.00199,RGI60-08.00199,True,False,24,29,29,29.0
RGI60-08.00188,RGI60-08.00188,True,False,25,34,34,34.0
RGI60-08.00006,RGI60-08.00006,True,False,20,28,28,31.0
RGI60-08.00213,RGI60-08.00213,True,False,39,41,41,41.0
RGI60-08.00210,RGI60-08.00210,True,False,13,20,20,20.0
RGI60-07.00504,RGI60-07.00504,True,True,18,26,26,41.0
RGI60-07.00496,RGI60-07.00496,False,False,0,11,11,11.0
RGI60-07.00240,RGI60-07.00240,True,True,27,26,26,31.0
RGI60-07.00490,RGI60-07.00490,False,False,0,4,4,18.0
RGI60-07.01481,RGI60-07.01481,True,False,10,32,32,33.0
RGI60-07.01464,RGI60-07.01464,False,False,0,5,5,10.0
RGI60-07.00493,RGI60-07.00493,True,True,13,36,36,41.0
RGI60-07.00570,RGI60-07.00570,False,False,0,14,14,14.0
RGI60-07.01060,RGI60-07.01060,False,False,0,10,10,10.0
RGI60-07.00492,RGI60-07.00492,True,False,18,14,14,25.0
RGI60-02.14017,RGI60-02.14017,False,False,0,3,3,24.0
RGI60-02.18415,RGI60-02.18415,True,False,7,0,0,36.0
RGI60-02.18487,RGI60-02.18487,False,False,0,0,0,36.0
RGI60-02.17739,RGI60-02.17739,False,False,0,0,0,30.0
RGI60-02.14297,RGI60-02.14297,False,False,0,11,11,12.0
RGI60-01.00570,RGI60-01.00570,False,False,0,41,41,41.0
RGI60-01.01104,RGI60-01.01104,False,False,0,22,22,41.0
RGI60-02.17307,RGI60-02.17307,False,False,0,0,0,36.0
RGI60-02.18005,RGI60-02.18005,False,False,0,0,0,14.0
RGI60-02.14336,RGI60-02.14336,False,False,0,10,10,11.0
RGI60-02.17369,RGI60-02.17369,False,False,0,15,15,24.0
RGI60-02.18077,RGI60-02.18077,False,False,0,15,15,24.0
RGI60-02.17733,RGI60-02.17733,False,False,0,0,0,36.0
RGI60-02.17862,RGI60-02.17862,False,True,0,12,12,23.0
RGI60-02.18774,RGI60-02.18774,False,False,0,0,0,30.0
RGI60-02.17612,RGI60-02.17612,False,False,0,15,15,24.0
RGI60-02.18778,RGI60-02.18778,False,False,0,41,41,41.0
RGI60-02.17023,RGI60-02.17023,False,False,0,15,15,15.0
RGI60-02.17789,RGI60-02.17789,False,False,0,0,0,10.0
RGI60-01.01390,RGI60-01.01390,False,False,0,25,25,41.0
RGI60-01.09162,RGI60-01.09162,False,False,0,41,41,41.0
RGI60-02.17806,RGI60-02.17806,False,False,0,0,0,36.0
